Metric Category,Metric Name,Value
Broker,CPU Min (%),17.06731
Broker,CPU Max (%),57.48503
Broker,CPU Avg (%),28.39886
Broker,CPU Variance,87.28186
Broker,Memory Min (MB),96.88762
Broker,Memory Max (MB),98.39245
Broker,Memory Avg (MB),97.84073
Broker,Memory Variance,0.15352
Messaging,Latency Min (ms),-7.31397
Messaging,Latency Max (ms),195.04738
Messaging,Latency Avg (ms),4.06435
Messaging,Latency Variance,50.99973
Messaging,Throughput (msgs/sec),805.57715
Messaging,Avg Header Size (bytes),33.99012
Messaging,Data Messages,144792
Messaging,Non-Data Messages,185
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,144747
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,144751
Purpose Correctness,Total Received,144747
Purpose Correctness,Total Rejected,4
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0001
OP Correctness,Total Operational Requests,85
OP Correctness,Total Expected Responses,68
OP Correctness,Total Actual Responses,68
OP Correctness,Total Relevant Requests Recieved,85
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
OP Correlation,Total Tracked Operations,85
OP Correlation,Total Completed Operations,85
OP Correlation,Overall Completion Rate,1.0000
OP Correlation,AUDIT Operations Issued,17
OP Correlation,AUDIT Completion Rate,1.0000
OP Correlation,AUDIT Median Latency (ms),7.52068
OP Correlation,AUDIT p90 Latency (ms),31.17065
OP Correlation,AUDIT p99 Latency (ms),54.80405
OP Correlation,DELETE Operations Issued,17
OP Correlation,DELETE Completion Rate,1.0000
OP Correlation,DELETE Median Latency (ms),15.39993
OP Correlation,DELETE p90 Latency (ms),45.65792
OP Correlation,DELETE p99 Latency (ms),134.35501
OP Correlation,HISTORY Operations Issued,17
OP Correlation,HISTORY Completion Rate,1.0000
OP Correlation,HISTORY Median Latency (ms),5.51343
OP Correlation,HISTORY p90 Latency (ms),21.53907
OP Correlation,HISTORY p99 Latency (ms),77.60582
OP Correlation,RESTRICT Operations Issued,17
OP Correlation,RESTRICT Completion Rate,1.0000
OP Correlation,RESTRICT Median Latency (ms),18.02397
OP Correlation,RESTRICT p90 Latency (ms),53.10826
OP Correlation,RESTRICT p99 Latency (ms),147.10883
OP Correlation,UPDATE Operations Issued,17
OP Correlation,UPDATE Completion Rate,1.0000
OP Correlation,UPDATE Median Latency (ms),8.77929
OP Correlation,UPDATE p90 Latency (ms),26.42002
OP Correlation,UPDATE p99 Latency (ms),119.75271
O1 Informed,REGISTER-INFO Requests Issued,100
O1 Informed,Publishers Informed,39
O1 Informed,Publishers With Consumers,39
O1 Informed,Informed Completion Rate,1.0000
