Metric Category,Metric Name,Value
Broker,CPU Min (%),15.80796
Broker,CPU Max (%),38.32200
Broker,CPU Avg (%),24.90832
Broker,CPU Variance,37.49335
Broker,Memory Min (MB),95.32202
Broker,Memory Max (MB),96.38630
Broker,Memory Avg (MB),95.91848
Broker,Memory Variance,0.07435
Messaging,Latency Min (ms),-32.63807
Messaging,Latency Max (ms),485.76856
Messaging,Latency Avg (ms),15.93988
Messaging,Latency Variance,505.06621
Messaging,Throughput (msgs/sec),1920.03741
Messaging,Avg Header Size (bytes),33.87080
Messaging,Data Messages,345217
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,345203
Purpose Correctness,Total Invalid Messages,14
Purpose Correctness,Total Expected,345232
Purpose Correctness,Total Received,345217
Purpose Correctness,Total Rejected,17
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correlation,Total Tracked Operations,0
OP Correlation,Total Completed Operations,0
OP Correlation,Overall Completion Rate,0.0000
O1 Informed,REGISTER-INFO Requests Issued,0
O1 Informed,Publishers Informed,0
O1 Informed,Publishers With Consumers,39
O1 Informed,Informed Completion Rate,0.0000
