Metric Category,Metric Name,Value
Broker,CPU Min (%),16.06096
Broker,CPU Max (%),47.99054
Broker,CPU Avg (%),27.08266
Broker,CPU Variance,61.18360
Broker,Memory Min (MB),95.82223
Broker,Memory Max (MB),97.46783
Broker,Memory Avg (MB),96.92880
Broker,Memory Variance,0.13025
Messaging,Latency Min (ms),-8.50010
Messaging,Latency Max (ms),295.45760
Messaging,Latency Avg (ms),4.66944
Messaging,Latency Variance,121.73126
Messaging,Throughput (msgs/sec),817.24506
Messaging,Avg Header Size (bytes),33.98965
Messaging,Data Messages,146888
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,146888
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,146888
Purpose Correctness,Total Received,146888
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correlation,Total Tracked Operations,0
OP Correlation,Total Completed Operations,0
OP Correlation,Overall Completion Rate,0.0000
O1 Informed,REGISTER-INFO Requests Issued,0
O1 Informed,Publishers Informed,0
O1 Informed,Publishers With Consumers,40
O1 Informed,Informed Completion Rate,0.0000
